"Daniel Balavoine","S.O.S. d'un terrien en détresse - Remasterisé en 2009"
"Laurent Voulzy","Le pouvoir des fleurs"
"Début De Soirée","Nuit de folie"
"Charles Aznavour","Emmenez-moi"
"Dalida","Mourir sur scène"
"Dalida","Monday, Tuesday... Laissez-moi danser"
"Jeanne Mas","En rouge et noir"
"Daniel Balavoine","Mon pauvre Gunther"
"Daniel Balavoine","La réponse"
"Daniel Balavoine","Ma musique et mon patois"
"Daniel Balavoine","La lettre à Marie"
"Dalida","Paroles… paroles…"
"Jean Schultheis","Confidence pour confidence - Version originale 1981"
"Daniel Balavoine","La vie ne m'apprend rien"
"Il Etait Une Fois","J'ai encore rêvé d'elle"
"Carole Fredericks","A nos actes manqués"
"Joe Dassin","L'été indien"
"Jean-Pierre Mader","Macumba"
"Marc Lavoine","Toi mon amour"
"Indochine","Nos célébrations"
"Florent Pagny","Et un jour une femme"
"Charles Aznavour","La bohème"
"Daniel Balavoine","Vivre ou survivre"
"Patrick Bruel","J'te l'dis quand même"
"Richard Anthony","Amoureux de ma femme"
"Eddy Mitchell","La dernière séance"
"Charles Aznavour","For Me... Formidable"
"Michel Berger","La groupie du pianiste - Remasterisé en 2002"
"Charles Aznavour","Hier encore"
"Alain Souchon","L'amour à la machine"
"Véronique Sanson","Amoureuse - Remasterisé en 2008"
"Gaëtan Roussel","Help Myself (Nous Ne Faisons Que Passer)"
"Véronique Sanson","Chanson sur ma drôle de vie - Remasterisé en 2008"
"Jacques Higelin","Tombé du ciel"
"Serge Reggiani","L'Italien"
"Serge Reggiani","Il suffirait de presque rien"
"Téléphone","New-York avec toi - Remasterisé en 2015"
"Julien Clerc","Femmes... Je vous aime"
"Michel Delpech","Quand j'étais chanteur"
"Charles Aznavour","Je m'voyais déjà"
"Véronique Sanson","Besoin de personne"
"Dany Brillant","Quand je vois tes yeux"
"Thierry Hazard","Le Jerk"
"Chimène Badi","Entre nous"
"Camélia Jordana","Non non non (Ecouter Barbara)"
"Garou","Reviens (ou te caches-tu)"
"Mylène Farmer","Sans contrefaçon - Mix 2001"
"Indochine","3 nuits par semaine"
"Bibi Flash","Histoire d'1 soir (Bye bye les galères) - Version originale 1983"
"TAL","Le Sens de la vie"
"Rose","La liste"
"Les Rita Mitsouko","Marcia Baïla"
"Étienne Daho","Le grand sommeil - 2014 Remaster"
"Laam","Petite sœur"
"Carla Bruni","Quelqu'un m'a dit"
"Diam's","DJ"
"France Gall","Poupée de cire, poupée de son"
"BB Brunes","Le gang"
"Daniel Balavoine","Quand on arrive en ville - Remasterisé en 2009"
"Céline Dion","D'amour ou d'amitié"
"Alain Souchon","La ballade de Jim"
"Céline Dion","I'm Alive"
"Céline Dion","The Power of Love"
"Céline Dion","Vole"
"Lady Gaga","Shallow - Radio Edit"
"Serge Gainsbourg","Sea, Sex And Sun"
"ABBA","The Winner Takes It All"
"ABBA","Fernando"
"Mariah Carey","Without You"
"Alanis Morissette","Hand in My Pocket - 2015 Remaster"
"4 Non Blondes","What's Up?"
